;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44151;As American and British settlers begin to move to the west coast of North America, there has been a growing dispute as to who owns the Columbia District. The entire region west of the Rockies (called the Oregon Country by the Americans) has been explored by both countries and there are legitimate claims on either side. The British claim all the way south to the 42nd Parallel and the Americans north to the 54th Parallel. The situation is tense, and made more so by jingoistic American politicians calling for sovereignty over the entire continent. Even so, the American government has sent a delegation seeking a compromise in the region.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME44153;Oregon Negotiations Break Down;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44153;The talks with the British have broken down, primarily due to the continuing calls by war-mongering politicians. Neither of our options now is very pleasant: either we abandon our claims to Oregon no matter what some might think, or we press ahead with the claims and brace for eventual war.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME44154;American Claims in Columbia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44154;As American and British settlers begin to move to the west coast of North America, there has been a growing dispute as to who owns the Columbia District. The entire region west of the Rockies (called the Oregon Country by the Americans) has been explored by both countries and there are legitimate claims on either side. Recently the situation has been exacerbated by American politicians rattling their sabers over their idea of 'Manifest Destiny', and they have pressed their claim all the way north to the 54th Parallel. It will almost certainly mean war, and our only consideration should probably be whether we wish to pursue another costly war with the Americans in North America when our time could better be spent elsewhere.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME44155;Oregon Country is Ours;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44155;The British have elected to withdraw from Oregon and have signed a treaty to hand any American land over to us.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME44303;Pacification of the Metis;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44303;It has taken time to settle the grievances following the Riel Rebellion, but treaties with the various Metis groups throughout the North-West territories have managed to properly incorporate them into Canada.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME44305;Rebellions of $YEAR$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44305;Perhaps inspired by the American Revolution, colonists in both the Lower Canada and Upper Canada colonies have risen up in rebellion. They are frustrated by the lack of political reform, as well as the entrenched power held by the reactionary elites of the 'Family Compact', and agitators are demanding responsible government if not outright independence. The colonial government has moved to arrest the perpetrators as traitors to the crown.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME44306;Lord Durham's Report;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44306;Lord Durham has returned from his mission to investigate the causes of the rebellion in Upper and Lower Canada with recommendations to the British crown-- namely that the two colonies be united under a single responsible government through an Act of Union. He fears that, if we do not, we may be facing further rebellion just as was faced in America. Indeed, it is entirely possible the Canadian radicals could attract support from the Americans if they are not appeased.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME44310;The Charlottetown Conference;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44310;A gathering of governors from our Maritime colonies in North America has also been attended by governors from Canada. According to reports, they are attempting to organize a larger confederation of the colonies with an eye towards eventual self-government. We would like to see the North American colonies be more self-reliant, so it may be in our best interest to allow this union.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME44315;The Canadian Dominion;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44315;The colonial government of Canada has officially requested that the crown permit them self-governance. This will see the colony better able to protect itself without military support, and considering their united stance it's entirely possible that should we refuse we will see renewed rebellion there.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME44316;The Dominion of Quebec;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44316;The colonial government of Quebec has officially requested that the crown permit them self-governance. This will see the colony better able to protect itself without military support, and considering their united stance it's entirely possible that should we refuse we will see renewed rebellion there.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME44317;The Maritime Dominion;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44317;The colonial governments of the Maritimes have officially requested that the crown permit them self-governance. This will see the colonies better able to protect themselves without military support, and considering their united stance it's entirely possible that should we refuse we will see rebellion there.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME44318;The Dominion of British Columbia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44318;The colonial government of British Columbia has officially requested that the crown permit them self-governance. This will see the colony better able to protect itself without military support, and considering their united stance it's entirely possible that should we refuse we will see rebellion there.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME44322;The Rupert's Land Act Fails!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44322;A British act which would have seen us offered the rights to purchase all of Rupert's Land from the Hudson's Bay Company has been defeated. Canadian dreams of uniting the continent from the Atlantic to the Pacific have been dashed in one fell swoop! Citizens in $CAPITAL$ are outraged at this betrayal.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME44325;$FROMCOUNTRY$ Asks To Join Confederation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44325;Relations with $FROMCOUNTRY$ are friendly, and thus the dream of a larger Canadian confederation has resurfaced. Delegates from $FROMCOUNTRY$ have made the journey to $CAPITAL$ with the goal of negotiating terms of joining our nation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME44339;The Northwest Territories;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44339;The land north of the 60th parallel is inhospitable to settlers, but there is a growing concern that should the Canadian government not move to fully claim the territory another power will do so. It will take considerable political capital to convince the other world powers of Canadian dominion in the north, but many feel we must make the effort... and considering there are reports of gold in the Yukon it might be wise to do so.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME44351;The British Columbian Proposal;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44351;Representatives from British Columbia have met with Canadian delegates in $CAPITAL$ to discuss terms of their joining confederation. The only thing that appears to interest them is the building of a national railway linking the Pacific and the Atlantic. Without it, they say, the nation is too divided and they are more connected with other regions along the Pacific coast.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME44355;First Stage of the CNR;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44355;The first stage of the Canadian National Railway, linking Winnipeg to the Atlantic Coast, has been completed. Now work must begin on the second stage, which will be considerably more difficult.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME44356;Second Stage of the CNR;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44356;The second stage of the Canadian National Railway, linking Calgary to the Atlantic Coast, has been completed. Now work must begin on the last stage, which will be the longest and most difficult yet as it requires creating a pass through the Rocky Mountains themselves.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME44357;The CNR Completed!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44357;After a massive effort expended to create a pass through the Rocky Mountains, the Canadian National Railway has been completed! A single railway now links the Pacific coast to the Atlantic. Crowds have gathered in $CAPITAL$ to celebrate the first locomotive being sent to make the complete journey!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME44805;Antonio López de Santa Anna;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44805;A general and war hero of Mexican independence, Santa Anna was elected President in 1833. After deposing his liberal vice-president, Santa Anna abrogated the 1826 Constitution and took control of the country as a conservative dictator with both church and military backing. Many Mexican states objected to this centralization of power, and with the rebellion of Tejas to the north the entire country seems to be in a state of chaos.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME44810;Rebellion in $STATENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44810;Malcontents in $STATENAME$ have risen up in defiance of the government, demanding a return to democratic rule!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME44815;Texas Recaptured!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44815;The rebel state of Tejas has been recaptured. A glorious victory for Mexico, and a blow against the malcontents who seek to spread dissension and discord!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME44820;Republic of the Rio Grande;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44820;Inspired by the success of the Tejas rebellion, liberal malcontents in the provinces along the Rio Grande have risen up and declared their independence from Mexico.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME44821;The Yucatan Republic;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44821;Angered by the abrogation of the 1824 Constitution and the centralization of government power in Mexico City, liberals in the Yucatan have declared their independence.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME44822;Join the United Provinces?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44822;Eventually, the Mexican government will come after our country and seek to re-incorporate it into the federation. If we are to survive, joining the United Provinces of Central America may be our only hope. Shall we make the request?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME44825;The Treaty of Guadalupe Hidalgo;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44825;With our capital under American control, it seems we have little choice but to negotiate. The Americans have offered us a deal: the normalization of relations, the forgiveness of our debt and the payment of a great deal of money... all in exchange for a cession of all the northern territories currently claimed by their country. If we refuse, it may mean many years more of war for us until these Americans get what they want.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME44826;$FROMCOUNTRY$ Has Agreed;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44826;$FROMCOUNTRY$ has signed the Treaty of Guadalupe Hidalgo, ceding all American-claimed territory to our control. For now, the relations between our two countries can return to normal.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME44827;$FROMCOUNTRY$ Has Refused;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44827;Despite having them over the figurative barrel, the $FROMCOUNTRY_ADJ$ government has refused to capitulate to our demands. So much the worse for them.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME44830;Execution of Emperor Maximilian;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44830;Emperor Maximilian has never enjoyed popular support in Mexico, and now that insurgents led by Benito Juárez have captured him it seems his reign has come to an end. Court-martialed and executed by a firing squad, the new republic was declared only days after his death. Benito Juárez has assumed the role of President of Mexico.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME44835;The Plan of Tuxtepec;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44835;Porfirio Díaz, General of Mexico and considered a hero by some, has overthrown the democratic government of Mexico in a military coup. Planned in secret with several military officers and announced in Oaxaca, it has disavowed the presidency of Sebastián Lerdo de Tejada and installed Diaz as a military-backed dictator.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME44840;Santa Anna Captured!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44840;In a surprise development, the leader of Mexico -- General Antonio de Santa Anna himself -- has been captured. Found running through the countryside, attempting to escape back to Mexico, he has been imprisoned in a Texan jail and forced to negotiate. We can force the man to agree to a peace treaty -- even though many consider the odds of Santa Anna's own country agreeing to terms exacted under duress to be slight, it may be our only hope against overwhelming odds. At the very least, the humiliation dealt against their leader will be a blow against the Mexican government and one from which they will not soon recover.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,
EVTDESC44841;In a humiliating blow to Mexico's prestige, General Santa Anna has been captured within Texan territory-- separated from our army and found wandering the countryside in an attempt to return to Mexico. While imprisoned, he agreed to a series of treaties which recognized Texan independence among other guarantees... all in exchange for his safe return. We are now faced with a question: while the treaties are worthless, disregarding them completely could give the Americans a cause to intervene. Either way, one thing is certain: as the architect of this fiasco, Santa Anna's time in power is done.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,
EVTNAME44842;The Treaties of Velasco;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44842;While Mexico had every reason to refute the treaties signed by Santa Anna, it seems their willingness to continue the war against Texas has waned. They will not embarass themselves further, and have agreed to let us remain free in exchange for Santa Anna's return. For the moment, this means the war with Mexico is over... whether that peace will continue remains to be seen.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME44843;Ceasefire With Mexico;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44843;As expected, the Mexican government has refuted the Treaties of Velasco and refused to negotiate for Santa Anna's return. They are, however, evidently afraid that the treaties have enough validity that ignoring them would give the Americans an excuse to intervene-- and have called for a ceasefire. How long it will last is unknown, but for the moment Texas has its respite.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
