end_ottoman_domination_title;End Ottoman Domination;;;;;;;;;;;;;
occupy_falklands_desc;The Falkland Islands, or Las Islas Malvinas in Spanish, are a source of great territorial dispute. Having competed with both France and Spain for sovereignty over the islands, we are now left squabbling with the independent Argentine administration over whose countries rightfully deserves to control them. The Falklands' current Argentine governor, Luis Vernet, has ignored our diplomatic protests over the blocking of British fishing rights to the islands' coasts. With him in charge, the Falklands are sure to be consolidated under Argentine control, unless we use the military to retake them.;;;;;;;;;;;;;;
MALVINASSONBRITANICAS;The British brig-sloop HMS Clio, commanded by Captain John James Onslow, docked in Puerto Soledad, Islas Malvinas, today to forcibly capture the islands. Upon arriving, he instructed Admiral Jos  Mar a Pinedo, leader of the Malvinas fleet, to surrender all his ships to Britain and allow the Union Jack to be hoisted on the port's docks. Pinedo contemplated resisting, though his forces' numerical disadvantage made it futile. \n\nThe loss of our territory again, even after our defeat of the Spanish, to European colonialism is an affront to the nation. If there is justice in this world, it will be avenged.;;;;;;;;;;;;;;
bolivia_annexes_peru_title;Invade Per ;;;;;;;;;;;;;
bolivia_annexes_peru_desc;Per  is in anarchy, wracked by an insurgency against acting president Luis de Obregoso by Felipe Salaverry. In desperation to hold onto power, Obregoso has petitioned our general Andr s de Santa Cruz to invade Per  and quash the rebels. This would lead to an upending of Latin America's balance of power: a union between Bolivia and Per , creating a regional powerhouse.;;;;;;;;;;;;;
NORMAL_WAR_PUPPET_NAME_BOL_PEU;The Salaverry-Santa Cruz War;;;;;;;;;;;;;
AGRESSION_WAR_PUPPET_NAME_BOL_PEU;The Salaverry-Santa Cruz War;;;;;;;;;;;;;
INCORPORATIONOFTORONTO;The Lower Canadian town of York has grown into a significant town and, thus, is beginning to emerge as a great city within North America. Situated on a water channel called "Tarontho," between the Lakes Simcoe and Cachinching, and standing in the shadow of Lake Ontario, York makes for an ideal settlement and industrial hub. Thus, the colonial government has deemed it necessary today to incorporate York and its environs into a new city named after the Tarontho channel. The city of Toronto shall serve as a new metropolis, calling to the populace of all of Canada and beyond.;;;;;;;;;;;;;
ottoman_invasion_iraq_title;End Mamluk Rule in Baghdad;;;;;;;;;;;;;
ottoman_invasion_iraq_desc;The Mamluk Dynasty has increasingly autonomously governed Mesopotamia from Baghdad since 1704. While they have imposed order and some degree of economic prosperity in the region, Dawud Pasha, the current Mamluk leader has shown signs of disloyalty. We will not truly have the region under our control unless we depose him and end Mamluk rule once and for all.;;;;;;;;;;;;;
OTTOSINVADEMAMLUKIEAQ;Sultan Mahmud II has dispatched an army to take control of Mesopotamia. With the ongoing centralization of the Ottoman Empire, growing mistrust of Dawud Pasha's rule in Baghdad has long been on the rise in Konstantiniyye. Now that the Ottomans have taken action, we must fight to continue Mamluk rule. If we lose, our proud dynasty will come to an end and never rule again.;;;;;;;;;;;;;
NORMAL_WAR_ESTABLISH_PROTECTORATE_CASUS_BELLI_NAME_TUR_TRI;Ottoman Restoration of Tripoli;;;;;;;;;;;;;
AGRESSION_WAR_ESTABLISH_PROTECTORATE_CASUS_BELLI_NAME_TUR_TRI;Ottoman Restoration of Tripoli;;;;;;;;;;;;;
ottoman_invasion_tripoli_title;Restore Order to Tripolitania;;;;;;;;;;;;;
ottoman_invasion_tripoli_desc;Our vassals in Tripolitania have been unstable for quite a while, and have now fully let their country fall into a civil war. As we saw in Algeria, letting a vassal become ever more autonomous and separate from Konstantiniyye gives colonial powers the opportunity to conquer them. This is our chance to take control of Tripolitania once and for all.;;;;;;;;;;;;;
BLACKWAR;Ever since Europeans arrived on Australia, there has been conflict between the native Aboriginal peoples and the colonizers. The Black War, or the Tasmanian War as some call it, has plagued the island since 1803 when the first major settlements were established. The Aboriginal's skirmishes with the colonists more than doubled in intensity during the 1820s as a result of the settlers' continued attempts at killing the native people. Between 1826 and 1828 there were multiple major massacres resulting in the deaths of 408 Aboriginal Tasmanians and 61 British settlers. In 1830, lieutenant-governor George Arthur ordered 2,200 men, consisting of soldiers and free citizens, to persecute and forcibly relocate four out of the nine Aboriginal nations into a  reservation." The 31st of December 1831 officially marks the end of the Black War as the last resisting tribes whose numbers had dwindled to 28 people have surrendered after years of persecution and genocide.;;;;;;;;;;;;;
BLACKWAROPT;Tasmania is now at peace -- but at what cost?;;;;;;;;;;;;;
LEAGUEWAR;The Costa Rican government has repealed the so-called "Ambulance Law," the legal practice of rotating the country's capital between four cities. Authorities have squabbled over what should be the Costa Rican capital ever since its independence from Spain, but traditionally its provincial capital under Spanish rule had been the city of Cartago. After independence, however, the capital switched to San Jos , to some protest that prompted the federal government to create four equal-status capitals. This changed when the current head of state, Braulio Carrillo Colina, repealed the Ambulance Law, cementing San Jos  as the sole Costa Rican capital. Paramilitaries of the four other former capitals--Cartago, Alajuela, and Heredia--have mobilized to force the law's re-enactment.;;;;;;;;;;;;;
LEAGUEWAROPT;What an odd reason to start a war.;;;;;;;;;;;;;
KOLUPRISING;The Kol people of Chota Nagpur, Jharkhand, have risen up in response to the annexation of their tribal lands. These annexations caused settlers from other parts of the East India Company's territories to move in, then explot the Kol people's labor. Resenting their situation, bands of Kols, as well as other adivasi--tribal--peoples, have begun wreaking havoc through random acts of banditry. They hope to drive the British out.;;;;;;;;;;;;;
KOLUPRISINGOPT;They're playing with fire. We'll burn them.;;;;;;;;;;;;;
TITHEWAR;Tithe payments are a tax imposed on farmers in Ireland. They pay 10 percent of the value of their agricultural produce to the clergy for the sake of financing the church. This has been a rather unpopular tax within the Catholic Irish communities, resulting in multiple clashes and protests. The "war" took a turn in 1831 when the Irish Constabulary fired on people resisting payments, killing 12 and wounding another 20. This event led anti-tithe protestors to ambush 40 Constabularies, killing 12, including the Chief Constabulary. Today, 200,000 people have gathered in Ballyhale in support of those being charged for the events that resulted in the 1831 killings.;;;;;;;;;;;;;
TITHEWAROPT;This could end badly.;;;;;;;;;;;;;
ALBANIA1833;4,000 Albanian rebels have surrounded the marketplace in Iskodra to demand the abolition of taxes and the restoration of privileges the Sultan had revoked. Their anarchy may have real grievances, but the Sultan's word is absolute. How should we deal with them? ;;;;;;;;;;;;;
ALBANIA1834;Albanians in Telepan  have taken to the streets to protest the appointing of Emin Pasha as governor. The son of Mehmet Reshit Pasha, the mastermind of the Monastir Vizier Massacre, the Albanian people believe Emin will turn out much like his father: a tyrant who opposes all pleas for Albanian autonomy. How shall we proceed?;;;;;;;;;;;;;
ALBANIA1835;With our promise to the Albanians of appointing a moderate governor of local origin broken, another rebellion has cropped up in Berat. Their insurrection culminated in the forming of a provisional government, under which negotiations for autonomy broke down and led to the siege of Berat castle by the rebels. The committee's military commander, Tafil Buzi, has called for his comerades to commence the liberation of all Albania.;;;;;;;;;;;;;
